id	name	abstract	data_type	default_task	attribute_type	n_instances	n_attrs	y	area	url
350	Twin gas sensor arrays	5 replicates of an 8-MOX gas sensor array were exposed to different gas conditions (4 volatiles at 10 concentration levels each).	Multivariate, Time-Series, Domain-Theory	Classification, Regression	Real	640	480000	2016	Computer	http://archive.ics.uci.edu/ml/datasets/Twin+gas+sensor+arrays
351	Gas sensors for home activity monitoring	100 recordings of a sensor array under different conditions in a home setting: background, wine and banana presentations. The array includes 8 MOX gas sensors, and humidity and temperature sensors.	Multivariate, Time-Series	Classification	Real	919438	11	2016	Computer	http://archive.ics.uci.edu/ml/datasets/Gas+sensors+for+home+activity+monitoring
352	Facebook Comment Volume Dataset	Instances in this dataset contain features extracted from facebook posts. The task associated with the data is to predict how many comments the post will receive.	Multivariate	Regression	Integer, Real	40949	54	2016	Other	http://archive.ics.uci.edu/ml/datasets/Facebook+Comment+Volume+Dataset
353	Smartphone Dataset for Human Activity Recognition (HAR) in Ambient Assisted Living (AAL)	This data is an addition to an existing dataset on UCI. We collected more data to improve the accuracy of our human activity recognition algorithms applied in the domain of Ambient Assisted Living.	Time-Series	Classification	Real	5744	561	2016	Computer	http://archive.ics.uci.edu/ml/datasets/Smartphone+Dataset+for+Human+Activity+Recognition+%28HAR%29+in+Ambient+Assisted+Living+%28AAL%29
354	Polish companies bankruptcy data	The dataset is about bankruptcy prediction of Polish companies.The bankrupt companies were analyzed in the period 2000-2012, while the still operating companies were evaluated from 2007 to 2013.	Multivariate	Classification	Real	10503	64	2016	Business	http://archive.ics.uci.edu/ml/datasets/Polish+companies+bankruptcy+data
355	Activity Recognition system based on Multisensor data fusion (AReM)	This dataset contains temporal data from a Wireless Sensor Network worn by an actor performing the activities: bending, cycling, lying down, sitting, standing, walking.	Multivariate, Sequential, Time-Series	Classification	Real	42240	6	2016	Computer	http://archive.ics.uci.edu/ml/datasets/Activity+Recognition+system+based+on+Multisensor+data+fusion+%28AReM%29
356	Dota2 Games Results	Dota 2 is a popular computer game with two teams of 5 players. At the start of the game each player chooses a unique hero with different strengths and weaknesses.	Multivariate	Classification		102944	116	2016	Game	http://archive.ics.uci.edu/ml/datasets/Dota2+Games+Results
357	Facebook metrics	Facebook performance metrics of a renowned cosmetic's brand Facebook page.	Multivariate	Regression	Integer	500	19	2016	Business	http://archive.ics.uci.edu/ml/datasets/Facebook+metrics
358	UbiqLog (smartphone lifelogging)	UbiqLog is the smartphone lifelogging tool that runs on the smartphone of 35 users for about 2 months.	Multivariate	Causal-Discovery		9782222		2016	Computer	http://archive.ics.uci.edu/ml/datasets/UbiqLog+%28smartphone+lifelogging%29
359	Amazon book reviews	213.335 book reviews for 8 different books. There are books which are scored very negatively in general and books which are scored very positively.	Multivariate, Text	Classification, Clustering	Integer, Real	213335	4	2016	Computer	http://archive.ics.uci.edu/ml/datasets/Amazon+book+reviews
360	NIPS Conference Papers 1987-2015	This data set contains the distribution of words in the full text of the NIPS conference papers published from 1987 to 2015.	Text	Clustering	Integer	11463	5812	2016	Computer	http://archive.ics.uci.edu/ml/datasets/NIPS+Conference+Papers+1987-2015
